ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 28.000000, -3.906250, 0.000000, 101.000000, 70.196075, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 27.000000, 5.000000, 457.700012, 336.700012, 12.382000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 28.000000, -3.906250, 0.000000, 101.000000, 70.196075, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 27.000000, 5.000000, 457.700012, 336.700012, 12.382000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 28.000000, -3.906250, 0.000000, 101.000000, 70.196075, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 27.000000, 5.000000, 457.700012, 336.700012, 12.382000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 28.000000, -3.906250, 0.000000, 101.000000, 70.196075, 44.705883, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 27.000000, 5.000000, 457.700012, 336.700012, 12.402000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 28.000000, -3.906250, 0.000000, 101.000000, 70.196075, 44.705883, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 27.000000, 5.000000, 457.700012, 336.700012, 12.402000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 1139.000000, 0.000000, 20.000000, 57.647060, 28.000000, -4.687500, 0.000000, 42.000000, 70.196075, 44.705883, 16.078432, 31.764706, 13.333333, 0.000000, 102.000000, 0.000000, 26.000000, 14.000000, 457.700012, 336.700012, 12.402000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 1139.000000, 0.000000, 20.000000, 57.647060, 28.000000, -4.687500, 0.000000, 42.000000, 70.196075, 44.705883, 16.078432, 31.764706, 13.333333, 0.000000, 100.000000, 0.000000, 26.000000, 14.000000, 457.700012, 336.700012, 12.402000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 1139.000000, 0.000000, 20.000000, 57.647060, 28.000000, -4.687500, 0.000000, 42.000000, 70.196075, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 14.000000, 457.700012, 336.700012, 12.031000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
0.000000, 1139.000000, 0.000000, 20.000000, 23.921568, 28.000000, 3.906250, 0.000000, 42.000000, 70.196075, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 14.000000, 457.700012, 336.700012, 12.031000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
2.000000, 1944.500000, 0.000000, 20.000000, 23.921568, 28.000000, 3.906250, 0.000000, 23.000000, 70.196075, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 25.000000, 457.700012, 336.700012, 12.031000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
2.000000, 1944.500000, 0.000000, 20.000000, 23.921568, 28.000000, 3.906250, 0.000000, 23.000000, 70.588234, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 25.000000, 457.700012, 336.700012, 12.031000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
2.000000, 1944.500000, 0.000000, 20.000000, 23.921568, 28.000000, 3.906250, 0.000000, 23.000000, 70.588234, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 25.000000, 457.700012, 336.700012, 12.070000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
2.000000, 1815.500000, 0.000000, 20.000000, 24.313726, 28.000000, 3.906250, 0.000000, 24.000000, 70.588234, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 21.000000, 457.700012, 336.700012, 12.070000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
4.000000, 1815.500000, 0.000000, 20.000000, 24.313726, 28.000000, 3.906250, 0.000000, 24.000000, 70.588234, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 21.000000, 457.700012, 336.700012, 12.070000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
4.000000, 1815.500000, 0.000000, 20.000000, 24.313726, 28.000000, 3.906250, 0.000000, 24.000000, 70.980392, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 21.000000, 30.500000, 27.500000, 14.316000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
4.000000, 1815.500000, 0.000000, 20.000000, 24.313726, 28.000000, 3.906250, 0.000000, 24.000000, 70.980392, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 26.000000, 21.000000, 30.500000, 27.500000, 14.316000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
4.000000, 1711.500000, 0.000000, 20.000000, 25.098040, 28.000000, 3.906250, 0.000000, 25.000000, 70.980392, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 27.000000, 17.000000, 30.500000, 27.500000, 14.316000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
6.000000, 1711.500000, 0.000000, 20.000000, 25.098040, 28.000000, 3.906250, 0.000000, 25.000000, 70.980392, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 27.000000, 17.000000, 30.500000, 27.500000, 14.316000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
6.000000, 1711.500000, 0.000000, 20.000000, 25.098040, 28.000000, 3.906250, 0.000000, 25.000000, 70.980392, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 36.500000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
6.000000, 1711.500000, 0.000000, 20.000000, 24.705883, 28.000000, 3.906250, 0.000000, 25.000000, 70.980392, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 36.500000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
7.000000, 1577.250000, 0.000000, 19.215687, 24.705883, 29.000000, 3.906250, 0.000000, 24.000000, 70.980392, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 36.500000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
7.000000, 1577.250000, 0.000000, 19.215687, 24.705883, 29.000000, 3.906250, 0.000000, 24.000000, 72.156860, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 43.900002, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
7.000000, 1577.250000, 0.000000, 19.215687, 24.705883, 29.000000, 3.906250, 0.000000, 24.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 43.900002, 27.500000, 13.808000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
7.000000, 1473.250000, 0.000000, 19.215687, 25.490196, 29.000000, 3.906250, 0.000000, 25.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.392157, 27.000000, 17.000000, 43.900002, 27.500000, 13.808000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
9.000000, 1473.250000, 0.000000, 19.215687, 25.490196, 29.000000, 3.906250, 0.000000, 25.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.392157, 27.000000, 13.000000, 43.900002, 27.500000, 13.808000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
9.000000, 1473.250000, 0.000000, 19.215687, 25.490196, 29.000000, 3.906250, 0.000000, 25.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.000000, 27.000000, 13.000000, 48.000000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
9.000000, 1473.250000, 0.000000, 19.215687, 25.490196, 29.000000, 3.906250, 0.000000, 25.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.000000, 27.000000, 13.000000, 48.000000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
9.000000, 1411.500000, 0.000000, 19.215687, 26.666666, 30.000000, 3.906250, 0.000000, 27.000000, 72.156860, 51.764706, 16.078432, 31.764706, 19.215687, 0.000000, 100.000000, 0.000000, 27.000000, 6.000000, 48.000000, 27.500000, 14.335000, 0.000000, 0.000000, 1885.000000, 0.000000, 63.000000,
