ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 46.000000, -5.468750, 0.000000, 101.000000, 65.882355, 49.803921, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 5.000000, 228.100006, 42.500000, 12.304000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 46.000000, -5.468750, 0.000000, 101.000000, 65.882355, 49.803921, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 5.000000, 228.100006, 42.500000, 12.304000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 46.000000, -5.468750, 0.000000, 101.000000, 65.882355, 49.803921, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 5.000000, 228.100006, 42.500000, 12.304000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 46.000000, -5.468750, 0.000000, 101.000000, 65.490196, 49.803921, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 5.000000, 228.100006, 42.500000, 10.703000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 46.000000, -5.468750, 0.000000, 101.000000, 65.490196, 50.980392, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 5.000000, 228.100006, 42.500000, 10.703000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
0.000000, 1731.250000, 0.000000, 19.215687, 20.392157, 46.000000, 1.562500, -3.125000, 20.000000, 65.490196, 50.980392, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 18.000000, 228.100006, 42.500000, 10.703000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
1.000000, 1731.250000, 0.000000, 19.215687, 20.392157, 46.000000, 1.562500, -3.125000, 20.000000, 65.490196, 50.980392, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.000000, 30.000000, 18.000000, 228.100006, 42.500000, 10.703000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
1.000000, 1731.250000, 0.000000, 19.215687, 20.392157, 46.000000, 1.562500, -3.125000, 20.000000, 65.490196, 52.941177, 16.078432, 31.764706, 18.823530, 0.000000, 101.000000, 0.784314, 30.000000, 18.000000, 228.100006, 42.500000, 11.562000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
1.000000, 1731.250000, 0.000000, 19.215687, 20.392157, 46.000000, 1.562500, -3.125000, 20.000000, 65.490196, 52.941177, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 18.000000, 228.100006, 42.500000, 11.562000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
1.000000, 1533.500000, 0.000000, 20.000000, 28.235294, 47.000000, 0.781250, -6.250000, 28.000000, 65.490196, 52.941177, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 22.000000, 228.100006, 42.500000, 11.562000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
3.000000, 1533.500000, 0.000000, 20.000000, 28.235294, 47.000000, 0.781250, -6.250000, 28.000000, 65.490196, 52.941177, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 22.000000, 228.100006, 42.500000, 11.562000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
3.000000, 1533.500000, 0.000000, 20.000000, 28.235294, 47.000000, 0.781250, -6.250000, 28.000000, 65.490196, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 22.000000, 41.199997, 38.099998, 12.167000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
3.000000, 1533.500000, 0.000000, 20.000000, 32.549019, 47.000000, 0.000000, -10.156250, 28.000000, 65.490196, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 22.000000, 41.199997, 38.099998, 12.167000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
4.000000, 1264.000000, 0.000000, 20.000000, 32.549019, 47.000000, 0.000000, -10.156250, 32.000000, 65.490196, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 15.000000, 41.199997, 38.099998, 12.167000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
4.000000, 1264.000000, 0.000000, 20.000000, 32.549019, 47.000000, 0.000000, -10.156250, 32.000000, 65.882355, 52.549019, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 30.000000, 15.000000, 47.500000, 38.099998, 12.167000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
4.000000, 1264.000000, 0.000000, 20.000000, 32.549019, 47.000000, 0.000000, -10.156250, 32.000000, 65.882355, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 101.000000, 0.784314, 30.000000, 15.000000, 47.500000, 38.099998, 14.082000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
4.000000, 1168.750000, 0.000000, 20.000000, 34.117645, 47.000000, 0.000000, -14.062500, 35.000000, 65.882355, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 101.000000, 0.784314, 30.000000, 11.000000, 47.500000, 38.099998, 14.082000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
6.000000, 1168.750000, 0.000000, 19.607843, 34.117645, 47.000000, 0.000000, -14.062500, 35.000000, 65.882355, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 101.000000, 0.784314, 30.000000, 11.000000, 47.500000, 38.099998, 14.082000, 0.000000, 0.000000, 9497.000000, 0.000000, 255.000000,
