ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.519,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.519,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.539,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.539,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.539,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.804,16.078,31.765,17.647,0,100,0,39,5,509.4,375.6,12.539,0,0,6944,0,255
0,0,0,17.647,0,35,-3.9062,0,101,26.275,49.412,16.078,31.765,17.255,0,100,0,39,5,509.4,375.6,10.703,0,0,6944,0,255
0,1578.8,0,17.647,20.784,35,5.4688,0,20,26.275,49.412,16.078,31.765,17.255,0,100,0,39,5,509.4,375.6,10.703,0,0,6944,0,255
1,1578.8,0,17.647,20.784,35,5.4688,0,20,26.275,49.412,16.078,31.765,17.255,0,100,0,39,11,509.4,375.6,10.703,0,0,6944,0,255
1,1578.8,0,17.647,20.784,35,5.4688,0,20,26.275,49.412,16.078,31.765,17.255,0,100,0,39,11,509.4,375.6,10.703,0,0,6944,0,255
1,1578.8,0,17.647,20.784,35,5.4688,0,20,26.275,49.804,16.078,31.765,17.647,0,100,0,39,11,509.4,375.6,12.128,0,0,6944,0,255
1,1578.8,0,17.647,24.314,35,5.4688,0,24,26.275,49.804,16.078,31.765,17.647,0,100,0,39,11,509.4,375.6,12.128,0,0,6944,0,255
3,1103,0,17.647,24.314,35,5.4688,0,24,26.275,49.804,16.078,31.765,17.647,0,100,0,40,11,509.4,375.6,12.128,0,0,6944,0,255
