ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 88.000000, -4.687500, 0.000000, 101.000000, 25.882353, 49.803921, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.441000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 88.000000, -4.687500, 0.000000, 101.000000, 25.882353, 49.803921, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.441000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 88.000000, -4.687500, 0.000000, 101.000000, 25.882353, 49.803921, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.441000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 88.000000, -4.687500, 0.000000, 90.000000, 25.882353, 49.803921, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.441000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 16.862745, 0.000000, 88.000000, -4.687500, 0.000000, 90.000000, 25.882353, 49.803921, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.441000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 16.862745, 0.000000, 88.000000, -4.687500, 0.000000, 90.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.128000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 0.000000, 0.000000, 16.862745, 0.000000, 88.000000, -4.687500, 0.000000, 90.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 5.000000, 427.700012, 310.700012, 12.128000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
0.000000, 1277.250000, 0.000000, 17.254902, 21.176470, 88.000000, -0.781250, -1.562500, 20.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 4.000000, 427.700012, 310.700012, 12.128000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
1.000000, 1277.250000, 0.000000, 17.254902, 21.176470, 88.000000, -0.781250, -1.562500, 20.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 4.000000, 427.700012, 310.700012, 12.128000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
1.000000, 1277.250000, 0.000000, 17.254902, 21.176470, 88.000000, -0.781250, -1.562500, 20.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 4.000000, 427.700012, 310.700012, 12.207000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
1.000000, 1277.250000, 0.000000, 17.254902, 21.176470, 88.000000, -0.781250, -1.562500, 20.000000, 25.882353, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 100.000000, 0.000000, 50.000000, 4.000000, 427.700012, 310.700012, 12.207000, 0.000000, 0.000000, 2711.000000, 0.000000, 93.000000,
