ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 49.803921, 16.078432, 31.764706, 17.254902, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 12.792000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 49.803921, 16.078432, 31.764706, 17.254902, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 12.773000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 49.803921, 16.078432, 31.764706, 17.254902, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 12.773000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.254902, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 49.803921, 16.078432, 31.764706, 17.254902, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 12.773000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.254902, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 49.803921, 16.078432, 31.764706, 17.254902, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 11.152000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.254902, 0.000000, 70.000000, -4.687500, 0.000000, 101.000000, 68.627449, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 5.000000, 470.100006, 322.799988, 11.152000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
0.000000, 1270.250000, 0.000000, 17.647058, 18.431372, 70.000000, 1.562500, -0.781250, 21.000000, 68.627449, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 4.000000, 470.100006, 322.799988, 11.152000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
1.000000, 1270.250000, 0.000000, 17.647058, 18.431372, 70.000000, 1.562500, -0.781250, 21.000000, 69.411766, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 4.000000, 470.100006, 322.799988, 11.152000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
1.000000, 1270.250000, 0.000000, 17.647058, 18.431372, 70.000000, 1.562500, -0.781250, 21.000000, 69.411766, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 4.000000, 470.100006, 322.799988, 12.207000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
1.000000, 1270.250000, 0.000000, 17.647058, 18.431372, 70.000000, 1.562500, -0.781250, 21.000000, 69.411766, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 4.000000, 470.100006, 322.799988, 12.207000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
1.000000, 1008.500000, 0.000000, 16.862745, 21.960785, 71.000000, 3.125000, -4.687500, 22.000000, 69.411766, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 7.000000, 470.100006, 322.799988, 12.207000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
3.000000, 1008.500000, 0.000000, 16.862745, 21.960785, 71.000000, 3.125000, -4.687500, 22.000000, 70.196075, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 7.000000, 470.100006, 322.799988, 12.207000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
3.000000, 1008.500000, 0.000000, 16.862745, 21.960785, 71.000000, 3.125000, -4.687500, 22.000000, 70.196075, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 7.000000, 51.199997, 50.800003, 12.832000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
3.000000, 1008.500000, 0.000000, 16.862745, 25.882353, 71.000000, 3.125000, -8.593750, 22.000000, 70.196075, 48.627453, 16.078432, 31.764706, 16.862745, 0.000000, 101.000000, 0.000000, 31.000000, 7.000000, 51.199997, 50.800003, 12.832000, 0.000000, 0.000000, 10197.000000, 0.000000, 255.000000,
