ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 1317.750000, 0.000000, 18.039215, 20.784313, 46.000000, -0.781250, 0.000000, 21.000000, 27.058823, 49.803921, 16.078432, 31.764706, 17.647058, 0.000000, 100.000000, 0.000000, 36.000000, 12.000000, 533.700012, 403.500000, 12.128000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
1.000000, 1317.750000, 0.000000, 18.039215, 20.784313, 46.000000, -0.781250, 0.000000, 21.000000, 27.058823, 49.803921, 16.078432, 31.764706, 17.647058, 0.000000, 100.000000, 0.000000, 36.000000, 12.000000, 533.700012, 403.500000, 12.128000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
1.000000, 1317.750000, 0.000000, 18.039215, 20.784313, 46.000000, -0.781250, 0.000000, 21.000000, 27.058823, 49.803921, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 36.000000, 12.000000, 533.700012, 403.500000, 12.207000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
1.000000, 1317.750000, 0.000000, 18.039215, 20.784313, 46.000000, -0.781250, 0.000000, 21.000000, 27.058823, 49.803921, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 36.000000, 12.000000, 533.700012, 403.500000, 12.207000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
3.000000, 1142.000000, 0.000000, 18.039215, 23.921568, 46.000000, -0.781250, 0.000000, 24.000000, 27.058823, 49.803921, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 37.000000, 16.000000, 533.700012, 403.500000, 12.207000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
3.000000, 1142.000000, 0.000000, 18.039215, 23.921568, 46.000000, -0.781250, 0.000000, 24.000000, 27.843138, 49.803921, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 37.000000, 16.000000, 42.800003, 403.500000, 12.207000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
3.000000, 1142.000000, 0.000000, 18.039215, 23.921568, 46.000000, -0.781250, 0.000000, 24.000000, 27.843138, 50.196079, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 37.000000, 16.000000, 42.800003, 41.500000, 12.871000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
3.000000, 960.000000, 0.000000, 18.039215, 29.411764, 45.000000, -0.781250, 0.000000, 30.000000, 27.843138, 50.196079, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 37.000000, 16.000000, 42.800003, 41.500000, 12.871000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
5.000000, 960.000000, 0.000000, 18.431372, 29.411764, 45.000000, -0.781250, 0.000000, 30.000000, 27.843138, 50.196079, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 38.000000, 14.000000, 42.800003, 41.500000, 12.871000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
5.000000, 960.000000, 0.000000, 18.431372, 29.411764, 45.000000, -0.781250, 0.000000, 30.000000, 27.843138, 50.196079, 16.078432, 31.764706, 18.039215, 0.000000, 100.000000, 0.000000, 38.000000, 14.000000, 44.099998, 41.500000, 14.121000, 0.000000, 0.000000, 2686.000000, 0.000000, 92.000000,
