Sample Number (10000 samples per second),ENGINE_RUN_TIME (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK_LEVEL_INPUT (),ACCELERATOR_PEDAL_POSITION_F (),ACCELERATOR_PEDAL_POSITION_D (),ACCELERATOR_PEDAL_POSITION_E (),COMMANDED_THROTTLE_ACTUATOR ()
0,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
1,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
2,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
3,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
4,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
5,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
6,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
7,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
8,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
9,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
10,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
11,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
12,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
13,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
14,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
15,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
16,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
17,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
18,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
19,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
20,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
21,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
22,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
23,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
24,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
25,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
26,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
27,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
28,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
29,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
30,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
31,0.0,0.0,0.0,17.647058,0.0,0.0,-5.46875,0.0,101.0,90.98039,0.0,16.078432,31.764706,13.333333
