Sample Number (10000 samples per second),RP =M (),SPEED (),THROTTLE (),load ()
0,849.0,0.0,18.82353,37.2549
1,849.0,0.0,18.82353,36.862743
2,856.25,0.0,18.82353,36.862743
3,856.25,0.0,18.82353,36.862743
4,856.25,0.0,18.82353,36.862743
5,851.5,0.0,18.82353,37.2549
6,851.5,0.0,18.82353,37.2549
7,851.5,0.0,18.82353,37.2549
8,851.5,0.0,18.82353,37.2549
9,851.5,0.0,18.82353,36.862743
10,852.25,0.0,18.82353,36.862743
11,852.25,0.0,18.82353,36.862743
12,852.25,0.0,18.82353,36.862743
13,853.0,0.0,18.82353,36.862743
14,853.0,0.0,18.82353,36.862743
15,853.0,0.0,18.82353,36.862743
16,853.0,0.0,18.82353,36.862743
17,856.25,0.0,18.82353,36.862743
18,856.25,0.0,18.82353,36.862743
19,856.25,0.0,18.82353,36.862743
20,856.25,0.0,18.82353,36.862743
21,859.25,0.0,18.82353,36.862743
22,859.25,0.0,18.82353,36.862743
23,859.25,0.0,18.82353,36.862743
24,887.5,0.0,18.82353,29.019608
25,887.5,0.0,17.647058,29.019608
26,887.5,0.0,17.647058,29.019608
27,887.5,0.0,17.647058,29.019608
28,887.5,0.0,17.254902,27.843138
29,887.5,0.0,17.254902,27.843138
30,887.5,0.0,17.254902,27.843138
31,887.5,0.0,17.254902,27.058823
32,860.75,0.0,17.254902,27.058823
33,860.75,0.0,17.254902,27.058823
34,860.75,0.0,17.254902,27.058823
35,811.5,0.0,17.254902,26.666666
36,811.5,0.0,16.862745,26.666666
37,811.5,0.0,16.862745,26.666666
38,811.5,0.0,16.862745,26.666666
39,843.75,0.0,19.215687,40.784313
40,843.75,0.0,19.215687,40.784313
41,843.75,0.0,19.215687,40.784313
42,843.75,0.0,19.215687,40.784313
43,881.25,0.0,18.82353,36.862743
44,881.25,0.0,18.82353,36.862743
45,881.25,0.0,18.82353,36.862743
46,881.25,0.0,18.82353,36.862743
47,881.25,0.0,18.82353,36.07843
48,881.25,0.0,18.82353,36.07843
49,881.25,0.0,18.82353,36.07843
50,881.25,0.0,18.82353,36.47059
51,856.25,0.0,18.82353,36.47059
52,856.25,0.0,18.82353,36.47059
53,856.25,0.0,18.82353,36.47059
54,847.5,0.0,18.82353,36.47059
55,847.5,0.0,18.82353,36.47059
56,847.5,0.0,18.82353,36.47059
57,847.5,0.0,18.82353,36.47059
58,848.25,0.0,18.82353,36.47059
59,848.25,0.0,18.82353,36.47059
60,848.25,0.0,18.82353,36.47059
61,848.25,0.0,18.82353,36.47059
62,843.75,0.0,18.82353,36.862743
63,843.75,0.0,18.82353,36.862743
64,843.75,0.0,18.82353,36.862743
65,845.25,0.0,18.82353,36.862743
66,845.25,0.0,18.82353,36.862743
67,845.25,0.0,18.82353,36.862743
68,845.25,0.0,18.82353,36.862743
69,838.25,0.0,18.82353,37.2549
70,838.25,0.0,18.82353,37.2549
71,838.25,0.0,18.82353,37.2549
72,838.25,0.0,18.82353,37.2549
73,842.75,0.0,18.82353,36.862743
74,842.75,0.0,18.82353,36.862743
75,842.75,0.0,18.82353,36.862743
76,862.5,0.0,18.82353,27.843138
77,862.5,0.0,17.254902,27.843138
78,862.5,0.0,17.254902,27.843138
79,862.5,0.0,17.254902,27.843138
80,862.5,0.0,17.254902,26.666666
81,801.5,0.0,16.862745,26.666666
82,801.5,0.0,16.862745,26.666666
83,801.5,0.0,16.862745,26.666666
84,763.25,0.0,16.862745,26.666666
85,763.25,0.0,16.862745,26.666666
86,763.25,0.0,16.862745,26.666666
87,763.25,0.0,16.862745,26.666666
88,815.5,0.0,19.215687,42.7451
89,815.5,0.0,19.215687,42.7451
90,815.5,0.0,19.215687,42.7451
91,815.5,0.0,19.215687,40.784313
92,853.0,0.0,19.215687,40.784313
93,853.0,0.0,19.215687,40.784313
94,853.0,0.0,19.215687,40.784313
95,883.5,0.0,19.215687,38.431374
96,883.5,0.0,19.215687,38.431374
97,883.5,0.0,19.215687,38.431374
98,883.5,0.0,19.215687,38.431374
99,885.0,0.0,18.82353,36.862743
100,885.0,0.0,18.82353,36.862743
101,885.0,0.0,18.82353,36.862743
102,885.0,0.0,18.82353,36.47059
103,874.0,0.0,18.82353,36.47059
104,874.0,0.0,18.82353,36.47059
105,874.0,0.0,18.82353,36.47059
106,864.0,0.0,18.82353,36.862743
107,864.0,0.0,18.82353,36.862743
108,864.0,0.0,18.82353,36.862743
109,864.0,0.0,18.82353,36.862743
110,850.0,0.0,18.82353,36.862743
111,850.0,0.0,18.82353,36.862743
112,850.0,0.0,18.82353,36.862743
113,850.0,0.0,18.82353,36.862743
114,842.75,0.0,18.82353,37.2549
115,842.75,0.0,18.82353,37.2549
116,842.75,0.0,18.82353,37.2549
117,842.75,0.0,18.82353,37.2549
118,840.5,0.0,18.82353,37.2549
