ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.363000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.363000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.382000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.382000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.382000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 49.803921, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 12.382000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 18.039215, 0.000000, 25.000000, -1.562500, 0.000000, 101.000000, 63.137257, 44.313725, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 10.292000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
0.000000, 1657.000000, 0.000000, 18.039215, 32.941177, 25.000000, 3.906250, 0.000000, 28.000000, 63.137257, 44.313725, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 24.000000, 5.000000, 335.799988, 81.300003, 10.292000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
1.000000, 1657.000000, 0.000000, 20.000000, 32.941177, 25.000000, 3.906250, 0.000000, 28.000000, 63.137257, 44.313725, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.000000, 23.000000, 23.000000, 335.799988, 81.300003, 10.292000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
1.000000, 1657.000000, 0.000000, 20.000000, 32.941177, 25.000000, 3.906250, 0.000000, 28.000000, 62.745098, 44.313725, 16.078432, 31.764706, 13.333333, 0.000000, 101.000000, 0.784314, 23.000000, 23.000000, 335.799988, 81.300003, 11.992000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
1.000000, 1657.000000, 0.000000, 20.000000, 32.941177, 25.000000, 3.906250, 0.000000, 28.000000, 62.745098, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 23.000000, 23.000000, 335.799988, 81.300003, 11.992000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
1.000000, 1832.750000, 0.000000, 20.000000, 23.137255, 25.000000, 3.906250, 0.000000, 23.000000, 62.745098, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 24.000000, 24.000000, 335.799988, 81.300003, 11.992000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
2.000000, 1832.750000, 0.000000, 20.000000, 23.137255, 25.000000, 3.906250, 0.000000, 23.000000, 63.137257, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 24.000000, 24.000000, 335.799988, 81.300003, 11.992000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
2.000000, 1832.750000, 0.000000, 20.000000, 23.137255, 25.000000, 3.906250, 0.000000, 23.000000, 63.137257, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 24.000000, 24.000000, 25.400002, 24.300003, 12.890000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
2.000000, 1832.750000, 0.000000, 20.000000, 23.137255, 25.000000, 3.906250, 0.000000, 23.000000, 63.137257, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 24.000000, 24.000000, 25.400002, 24.300003, 12.890000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
4.000000, 1721.000000, 0.000000, 20.000000, 24.313726, 25.000000, 3.906250, 0.000000, 25.000000, 63.137257, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 101.000000, 0.784314, 24.000000, 22.000000, 25.400002, 24.300003, 12.890000, 0.000000, 0.000000, 7094.000000, 0.000000, 255.000000,
