Sample Number (10000 samples per second),ENGINE_RUN_TIME (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK_LEVEL_INPUT (),ACCELERATOR_PEDAL_POSITION_F (),ACCELERATOR_PEDAL_POSITION_D (),ACCELERATOR_PEDAL_POSITION_E (),COMMANDED_THROTTLE_ACTUATOR ()
0,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
1,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
2,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
3,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
4,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
5,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
6,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
7,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
8,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
9,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
10,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
11,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
12,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
13,0.0,0.0,0.0,18.039215,0.0,0.0,-4.6875,0.0,101.0,23.921568,0.0,16.078432,31.764706,18.039215
